group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거,표지해상도(px),비고
24,both,e4933cfc-7af8-4f53-a648-8606f51e8851,bloom,Where is My Mother?,https://s3.amazonaws.com/bloomharvest/Cn0ZRu6Nlp%2f1777997001660%2fbloomdigital%2fPicture2.jpg,,팀장 판단(해상도 동률 2권),558720,
25,title,79d48c99-3f81-4738-92da-bbc53aa7a296,gdl,Whose House is This?,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201021325-7c82e3c3967af7cd0fc0bc6c6c18d468-7d3abad2a15b05808721616c9441898c.jpg,,,440181,
25,title,11e426a8-9b20-4941-9b5d-434e97292348,book_dash,Whose shoe is this?,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/bookdash-whose-shoe-is-this.webp,Y,오디오 보유,360000,
25,title,313b9a30-44fb-4035-ae44-93873d3690c4,bloom,Whose shoe is this?,https://s3.amazonaws.com/bloomharvest/SAbuXLPfAD%2f1749017810025%2fbloomdigital%2fwhose-shoe-is-this_page2.jpg,,,819200,
26,both,017d6e74-ff54-44df-95e8-11f14b005ab6,bloom,Wild Cat! Wild Cat!,https://s3.amazonaws.com/bloomharvest/lR322jIgeL%2f1748922145631%2fbloomdigital%2fimage1.jpg,,,192878,
26,both,d38092cf-a3a6-4160-a6ac-bc3ebc59aa5e,gdl,Wild Cat! Wild Cat!,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201017233-7c82e3c3967af7cd0fc0bc6c6c18d468-989e58db2662c9191f01d170bedaab3f.jpg,Y,최대 해상도,440181,
26,both,d743a359-4de5-411a-b9e1-f219a1d13d21,bloom,Wild Cat! Wild Cat!,https://s3.amazonaws.com/bloomharvest/educationforlife%40sil.org%2f4a2049ca-557f-4704-b7d3-fce6fa119795%2fbloomdigital%2fimage1.jpg,,,192878,
27,title,bd07f136-b653-4504-938c-e1f78cbdbd54,gdl,"""My fish!"" ""No, my fish!""",https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015469-7c82e3c3967af7cd0fc0bc6c6c18d468-55acf182b36e4f72a33016ecbc22001d.jpg,Y,최대 해상도,905296,
27,title,bde8b497-06fd-424c-ae18-4ba17a104257,bloom,"""My fish!"" ""No, my fish!""",https://s3.amazonaws.com/bloomharvest/91aAa9nTS5%2f1770719536381%2fbloomdigital%2fSWPB_53-my-fish-no-my-fish_Page_02_Image_0001.jpg,,,525589,
28,title,20eee28a-86e4-45e4-9c52-9575e4f41d8f,gdl,7 Colours of a Rainbow,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201017223-7c82e3c3967af7cd0fc0bc6c6c18d468-fdb7c9688dc6dd29e5519f00fe642e6e.jpg,,,440181,
28,title,76732ac9-2f18-4c43-b975-9464dce94113,bloom,Colours of a Rainbow,https://s3.amazonaws.com/bloomharvest/educationforlife%40sil.org%2f8b4422c7-2558-4aa2-a551-1cf7366e343c%2fbloomdigital%2fASP_41_coloursofarainbow_Page_01_Image_00011.jpg,Y,최대 해상도,810000,
29,title,0224c5f6-82c2-424f-b2ee-2c857c18fa89,african_storybook,A Careless Man,https://africanstorybook.org/illustrations/covers/12968.png,,,38400,
29,title,b372c9d2-55d0-4f89-8b9e-9298b47fdcff,bloom,A careless man,https://s3.amazonaws.com/bloomharvest/glauredarwindy%40gmail.com%2f4c88d493-a3e0-437a-8ee5-7599be7a2b3c%2fbloomdigital%2fASP_80_a_careless_man_Page_02_Image_0001.png,Y,최대 해상도,358801,
30,title,77de020c-ac99-4b7f-b470-b61717c90340,gdl,A Dancer's Tale,https://content.digitallibrary.io/wp-content/uploads/2023/04/35476-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,,,203401,
30,title,74b531b1-4aa3-4b91-ae1e-00dd95e7e910,book_dash,A Dancer’s Tale,https://bookdash.github.io/bookdash-books/a-dancers-tale/en/images/cover.jpg,Y,book_dash,1000000,
31,both,af887c49-531a-4d26-9db4-b820648b9b6b,african_storybook,A Hot Saturday,https://africanstorybook.org/illustrations/covers/5394.png,,팀장 판단(해상도 동률 2권),38400,
31,both,e11550fa-4082-43e0-8f00-681454d31edf,african_storybook,A Hot Saturday,https://africanstorybook.org/illustrations/covers/13453.png,,팀장 판단(해상도 동률 2권),38400,
32,title,071d4a45-ecf2-4f24-a644-01955cfd93e7,bloom,A House for Mouse,https://s3.amazonaws.com/bloomharvest/gdPBvX1a7W%2f1743765822108%2fbloomdigital%2fASP_108_a_house_for_mouse_1_Page_02_Image_0001.jpg,,,358801,
32,title,52d93876-df1b-4e27-b0e9-02c24a8ed4ea,book_dash,A House for Mouse,https://bookdash.github.io/bookdash-books/a-house-for-mouse/en/images/cover.jpg,Y,book_dash,620944,
33,both,b134655b-fd4b-41a5-86a2-a4c6fe7f236b,gdl,A Street or a Zoo?,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015571-7c82e3c3967af7cd0fc0bc6c6c18d468-aa792962f7e2893a52a41e576c1b63c3-1.jpg,Y,최대 해상도,903378,
33,both,6d62d996-ee93-4b29-b2e7-e75f4689a0ce,bloom,"A Street, or a Zoo?",https://s3.amazonaws.com/bloomharvest/okuukeremetbooks%40gmail.com%2f0a38c9cf-0606-4ad4-aefb-8a97c44d62d9%2fbloomdigital%2fSWPB_257-a-street-or-a-zoo_Page_01_Image_0001.jpg,,,353400,
34,title,0134f341-7b58-4c7c-b17a-8d4e036dcd72,book_dash,A trip to the tap,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/bookdash-a-trip-to-the-tap.webp,Y,오디오 보유,360000,
34,title,7f8925c4-ccd4-4738-863b-ea20097aa12d,bloom,A Trip to the Tap,https://s3.amazonaws.com/bloomharvest/B1WRiH3kiE%2f1763102884063%2fbloomdigital%2fa-trip-to-the-tap_page2.jpg,,,819200,
35,title,099fef93-cf3c-42d0-8a55-4cfcd65f7cd9,gdl,A Very Busy Day,https://content.digitallibrary.io/wp-content/uploads/2023/04/34983-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,,,112290,
35,title,3e219305-97f9-49a7-8a80-0c6767145af7,book_dash,A very busy day!,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/bookdash-a-very-busy-day.webp,Y,오디오 보유,360000,
