id,coverN,old_cover_url
4f8f951f-dc38-4a54-a7ae-49e4e801912a,36548,"https://africanstorybook.org/illustrations/covers/36548.png"
f9c7bb79-18bf-4362-a5b3-29c86cfb2588,36557,"https://africanstorybook.org/illustrations/covers/36557.png"
85550548-81ff-4adf-9c0b-737edbeca90f,36575,"https://africanstorybook.org/illustrations/covers/36575.png"
fbb1a1fd-4141-489e-a37a-e9f5c9350b97,36581,"https://africanstorybook.org/illustrations/covers/36581.png"
09db45da-1c9a-4da6-8c34-ef7071366dec,36582,"https://africanstorybook.org/illustrations/covers/36582.png"
1acb9575-1409-4e9e-8ded-f5263df08ad3,36640,"https://africanstorybook.org/illustrations/covers/36640.png"
c2d1b189-5a44-42a6-86c9-99684e259eb7,36642,"https://africanstorybook.org/illustrations/covers/36642.png"
5dd5f398-32f5-4e35-959b-233569812d7c,36652,"https://africanstorybook.org/illustrations/covers/36652.png"
016da7cd-35eb-4281-a241-2d11c0ff7aba,36657,"https://africanstorybook.org/illustrations/covers/36657.png"
cd578d2e-1952-4fd9-abe9-706465e7c95e,36661,"https://africanstorybook.org/illustrations/covers/36661.png"
e713a09a-3fa8-45cb-806d-2b9319a94b89,36664,"https://africanstorybook.org/illustrations/covers/36664.png"
89d6ee34-4ad3-45ea-91ee-bc4fd64201e9,36671,"https://africanstorybook.org/illustrations/covers/36671.png"
965f8b70-3bc5-482b-ba61-d1b052a5938c,36706,"https://africanstorybook.org/illustrations/covers/36706.png"
fa28e09e-8d19-4598-be82-b4aa8a582002,36707,"https://africanstorybook.org/illustrations/covers/36707.png"
741f9a46-2703-4181-83ff-30d63ab1e109,36714,"https://africanstorybook.org/illustrations/covers/36714.png"
4275096a-37ab-439c-9c7e-6bfb0f438e0e,36721,"https://africanstorybook.org/illustrations/covers/36721.png"
5c9b7801-0e1c-402a-b49c-a27ac372cf1c,36730,"https://africanstorybook.org/illustrations/covers/36730.png"
772fabc1-46e0-46fc-b051-ea42629bfb44,36739,"https://africanstorybook.org/illustrations/covers/36739.png"
fd8fd216-b6ed-4418-932c-0f65f2619e5a,36743,"https://africanstorybook.org/illustrations/covers/36743.png"
afe5e837-3e9e-4a1c-85c9-bd068ec9f4e1,36755,"https://africanstorybook.org/illustrations/covers/36755.png"
5e535801-9ce4-463f-8535-b383ba34fbe1,36760,"https://africanstorybook.org/illustrations/covers/36760.png"
da7d0808-e079-4940-adf0-accdd08f6748,36794,"https://africanstorybook.org/illustrations/covers/36794.png"
927c5975-7052-402d-a3f8-9d3510c82841,36798,"https://africanstorybook.org/illustrations/covers/36798.png"
5f5b76b2-ab19-435b-b5d1-3e42a0387f27,36799,"https://africanstorybook.org/illustrations/covers/36799.png"
6afd6a44-dd2e-406d-a667-be354793eaa2,36806,"https://africanstorybook.org/illustrations/covers/36806.png"
3a5346fd-d366-4af5-b369-6d806f591039,36862,"https://africanstorybook.org/illustrations/covers/36862.png"
b758170e-da91-4e5c-9e95-0feda7a1b2b2,36863,"https://africanstorybook.org/illustrations/covers/36863.png"
e31fe9f1-afe3-4d76-a795-bf3562972d75,36993,"https://africanstorybook.org/illustrations/covers/36993.png"
8e9cfd15-c101-47b6-bb2f-7cb88d44f3aa,37009,"https://africanstorybook.org/illustrations/covers/37009.png"
3c85e7f3-649e-4b5d-9bca-d99728624243,37190,"https://africanstorybook.org/illustrations/covers/37190.png"
cf7804ad-3831-498f-b426-5f0340d66699,37191,"https://africanstorybook.org/illustrations/covers/37191.png"
e7e6e39b-a87c-4cad-91d6-65e8f3b17600,37192,"https://africanstorybook.org/illustrations/covers/37192.png"
14ef47db-c8aa-47b6-9159-eee87df012bc,37218,"https://africanstorybook.org/illustrations/covers/37218.png"
c99e9723-eeb8-4a4f-b80b-2ce3fdfbc441,37223,"https://africanstorybook.org/illustrations/covers/37223.png"
11f80fd3-627d-4f60-a81a-c1a58d57a336,37278,"https://africanstorybook.org/illustrations/covers/37278.png"
d40b81ba-1e5f-461b-bf91-33414b0f39b1,37346,"https://africanstorybook.org/illustrations/covers/37346.png"
d854bca0-08cf-4acb-a66c-9d2c5c546ba2,37349,"https://africanstorybook.org/illustrations/covers/37349.png"
d0d91447-ade9-40cf-b536-9d40851a58b0,37350,"https://africanstorybook.org/illustrations/covers/37350.png"
d93da7bd-29e4-4531-ab80-a88a7c085a94,37352,"https://africanstorybook.org/illustrations/covers/37352.png"
65088445-1513-47b4-b6eb-6459f53176c8,37353,"https://africanstorybook.org/illustrations/covers/37353.png"
ded8865a-97e8-4de0-bdd7-edc45b02f099,37354,"https://africanstorybook.org/illustrations/covers/37354.png"
e1f60ac7-dae3-4c67-a292-cd83372a7659,37356,"https://africanstorybook.org/illustrations/covers/37356.png"
2e4876d5-8609-4f85-8ecb-498d1004c64c,37358,"https://africanstorybook.org/illustrations/covers/37358.png"
05b67a8b-2037-4ad8-a344-6b860042728c,37429,"https://africanstorybook.org/illustrations/covers/37429.png"
bbb3f789-4b40-4496-b4aa-4c0956a00d81,37446,"https://africanstorybook.org/illustrations/covers/37446.png"
6a100e7e-67ca-4c42-b6cc-fbf7ea553d54,37483,"https://africanstorybook.org/illustrations/covers/37483.png"
01681e96-f012-4e7b-adcd-dd75b23b218e,37486,"https://africanstorybook.org/illustrations/covers/37486.png"
fc1bb2a7-da00-4a83-8392-f1d5f044bfc2,37488,"https://africanstorybook.org/illustrations/covers/37488.png"
c94e696f-b847-47e1-bd2c-3412dc036132,37495,"https://africanstorybook.org/illustrations/covers/37495.png"
3a649cd6-0c9e-4f24-b965-328ebba9c1de,37498,"https://africanstorybook.org/illustrations/covers/37498.png"
33899cb2-3e53-450e-8d75-c8157d5c0d9a,37501,"https://africanstorybook.org/illustrations/covers/37501.png"
be02401b-2eb2-4748-9b70-b85530a7562f,37502,"https://africanstorybook.org/illustrations/covers/37502.png"
c52e08ce-5f1c-49c6-9e9d-262b1f18892a,37504,"https://africanstorybook.org/illustrations/covers/37504.png"
199dc6ce-3e54-4537-8e19-e0f94f070491,37505,"https://africanstorybook.org/illustrations/covers/37505.png"
dbb19083-17d6-43fe-8031-fa35cbf23da4,37512,"https://africanstorybook.org/illustrations/covers/37512.png"
0d6643dc-26b6-4e3e-ad00-a18f564ae7e8,37515,"https://africanstorybook.org/illustrations/covers/37515.png"
3ade2fff-06aa-427b-aa2a-3a7b15278d3f,37519,"https://africanstorybook.org/illustrations/covers/37519.png"
027f3151-ce37-465d-a430-010c2c515015,37521,"https://africanstorybook.org/illustrations/covers/37521.png"
e46318d6-e2c9-42b3-a7af-edec21268770,37523,"https://africanstorybook.org/illustrations/covers/37523.png"
452ec18d-a343-4375-abcb-636bc0bd9c78,37541,"https://africanstorybook.org/illustrations/covers/37541.png"
c83fd8ac-6e1d-489f-88e7-0484c12cd91a,37542,"https://africanstorybook.org/illustrations/covers/37542.png"
154c9b05-4e62-4dc0-8de9-16bff4b2c021,37547,"https://africanstorybook.org/illustrations/covers/37547.png"
e40998e7-7f03-4cda-9ae4-603da47e7f5d,37552,"https://africanstorybook.org/illustrations/covers/37552.png"
a8795033-b542-4d6f-af81-1228bc80a6c9,37559,"https://africanstorybook.org/illustrations/covers/37559.png"
c9a283b3-9c45-4c76-8d75-289e18039562,37560,"https://africanstorybook.org/illustrations/covers/37560.png"
2f7d5278-94c8-4861-adba-31d62d60ef7b,37564,"https://africanstorybook.org/illustrations/covers/37564.png"
a996515b-43d4-4281-82b5-6c25ea4e9cbb,37577,"https://africanstorybook.org/illustrations/covers/37577.png"
d537a3a9-e3a5-460d-932e-249d3023991e,37579,"https://africanstorybook.org/illustrations/covers/37579.png"
de25d69a-6750-4222-a6e3-36ed848d8c81,37603,"https://africanstorybook.org/illustrations/covers/37603.png"
04d8fe8e-fc99-4a1b-916d-f7af3f84c827,37606,"https://africanstorybook.org/illustrations/covers/37606.png"
d671748c-1723-4018-b8c2-5b5d21c645da,37611,"https://africanstorybook.org/illustrations/covers/37611.png"
88e3149f-d819-422b-a285-53903098c3fd,37612,"https://africanstorybook.org/illustrations/covers/37612.png"
ab563547-fae9-4dfc-bab8-6269e8bc1d6c,37629,"https://africanstorybook.org/illustrations/covers/37629.png"
07f016f8-a92d-45e7-8a16-1fd392eb648e,37637,"https://africanstorybook.org/illustrations/covers/37637.png"
cf0db6a5-2b2a-4c0f-8e15-e6faaacea15b,37672,"https://africanstorybook.org/illustrations/covers/37672.png"
39b0120a-8b3b-4dad-ad02-fe0fb11bfc1c,37691,"https://africanstorybook.org/illustrations/covers/37691.png"
d9a5d56b-ae9b-4b91-9c0f-6c18ecd589f0,37752,"https://africanstorybook.org/illustrations/covers/37752.png"
bbcd3c03-6caf-4dff-946e-cc32734b1c8e,37760,"https://africanstorybook.org/illustrations/covers/37760.png"
3a93b9eb-fbd9-44d1-a10e-f73236d0285e,37769,"https://africanstorybook.org/illustrations/covers/37769.png"
86dbfc5a-7735-4abe-929f-97ec6036b387,37771,"https://africanstorybook.org/illustrations/covers/37771.png"
15ab35bc-521d-45a6-90c1-ad3c7b059d5d,37783,"https://africanstorybook.org/illustrations/covers/37783.png"
f35359ed-a66b-48e7-a739-2e4356ab0911,37793,"https://africanstorybook.org/illustrations/covers/37793.png"
b804bc4e-b8cf-4a51-b98a-b8de3738c3e0,37810,"https://africanstorybook.org/illustrations/covers/37810.png"
dd98195a-b999-470e-ba0a-36f0b3fb29b2,37814,"https://africanstorybook.org/illustrations/covers/37814.png"
19278ac8-5a07-49ae-9751-10e1dd2dbb28,37820,"https://africanstorybook.org/illustrations/covers/37820.png"
20ac4fd3-605b-4ad8-8681-db84dec20f6c,37830,"https://africanstorybook.org/illustrations/covers/37830.png"
