book_id,platform,source_id,title,http_status,fetch_ok,n_text,n_image,axis_match,axis_diff,empty_pages,chars_raw,chars_billable,max_page_chars,p_numbers_contiguous,p_min,p_max,mojibake_suspect,error,flags,content_url
5a36c120-e6c8-4c5e-b1a5-aece2318e268,african_storybook,2102,How Night Came to Opio's Village,200,True,10,11,False,-1,0,2064,2051,315,True,1,10,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/2102.txt
98ea55ca-b527-49e1-a0c5-316ae73f5d29,african_storybook,2104,Hungry Jackal and the Sour Grapes,200,True,8,9,False,-1,0,764,759,120,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/2104.txt
e015cd0e-458e-4fd6-ab62-f5be819609c6,african_storybook,2124,Fruit,200,True,13,12,False,1,0,3274,3235,324,True,1,13,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/2124.txt
f5cce814-b16f-467c-8e63-3c6ce705e0bb,african_storybook,21309,Greedy Anansi,200,True,11,12,False,-1,0,656,659,78,True,1,11,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21309.txt
0dfcfcdb-dd72-466b-87f9-3777fc425a92,african_storybook,21332,Peace,200,True,8,9,False,-1,0,575,575,104,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21332.txt
d0217660-9cc2-491c-aba8-67d1de087133,african_storybook,21374,Simbi Gets A New Mother,200,True,16,17,False,-1,0,669,669,61,True,1,16,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21374.txt
641e3f61-be25-41e9-927c-c0d6c50e6b20,african_storybook,21379,Rooster Cheats,200,True,12,13,False,-1,0,495,497,58,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21379.txt
cd8a11c7-ff36-498f-b2d4-9742e74a1563,african_storybook,21397,Tarik And His Friend,200,True,12,13,False,-1,0,427,427,58,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21397.txt
a84bf7de-95d3-43af-93a7-6e2db0c63847,african_storybook,2140,Musau Saves His Father,200,True,13,14,False,-1,0,1888,1874,220,True,1,13,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/2140.txt
0ec81265-c111-4f8a-bccd-ff5108981a93,african_storybook,21423,Pretty Golden Pen,200,True,8,9,False,-1,0,468,468,116,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21423.txt
b6944310-b599-4017-a4ce-f01aa2facb1e,african_storybook,21479,Dog And Jackal,200,True,8,9,False,-1,0,418,420,97,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21479.txt
f5f93329-705b-435d-9861-67d409af32b7,african_storybook,21501,Old Woman And Hare,200,True,8,9,False,-1,0,649,651,119,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21501.txt
e9830f2a-666f-4d4a-b9c4-a89e3e6fb69a,african_storybook,21555,The King And His Beautiful Daughter,200,True,5,4,False,1,0,1170,1171,334,True,1,5,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21555.txt
8d4d229c-18b1-420c-8199-a241b6ce630d,african_storybook,21587,Mother Mouse's Warning,200,True,12,13,False,-1,0,1009,1009,134,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21587.txt
29b70376-3c14-4688-9997-f0f8dd6c2c22,african_storybook,21588,Tamara Starts School,200,True,12,13,False,-1,0,882,885,145,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21588.txt
93c51967-a4c7-4561-9841-26ee45e71c74,african_storybook,21643,Crocodile Waits For Brains,200,True,8,9,False,-1,0,586,586,99,True,1,8,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21643.txt
22922dac-55a6-409d-a210-cd61449f2787,african_storybook,21708,Clever Cat And Foolish Dog,200,True,12,13,False,-1,0,912,917,133,True,1,12,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21708.txt
7e18b735-8593-4f9e-89c9-4b82a5fdcb41,african_storybook,21728,A Present For Grandma,200,True,7,8,False,-1,0,485,485,119,True,1,7,False,,AXIS_MISMATCH,https://raw.githubusercontent.com/global-asp/asp-raw-db/master/data/21728.txt
