platform,source_id,title,fetch_ok,http_status,n_text,n_image,emitted,missing,extra,bad_scheme,error
african_storybook,24364,Harold the Horse,True,200,13,14,13,0,1,0,
african_storybook,24387,The life of a girl,True,200,6,7,6,0,1,0,
african_storybook,24410,Judy and her mother,True,200,10,11,10,0,1,0,
african_storybook,24412,Lule and Kitty the Cat,True,200,5,6,5,0,1,0,
african_storybook,24444,My grandmother,True,200,6,7,6,0,1,0,
african_storybook,24477,Ugali and Fish,True,200,7,8,7,0,1,0,
african_storybook,24519,Baby falls into the River Nile,True,200,5,6,5,0,1,0,
african_storybook,24532,The boy who liked to laugh,True,200,14,15,14,0,1,0,
african_storybook,24538,Family shopping,True,200,11,12,11,0,1,0,
african_storybook,24545,My two sisters Nelly and Vivian,True,200,9,10,9,0,1,0,
african_storybook,24557,The first pregnancy experience,True,200,7,8,7,0,1,0,
african_storybook,24566,The little playful children,True,200,6,7,6,0,1,0,
african_storybook,24573,Mothers love,True,200,8,9,8,0,1,0,
african_storybook,24580,Losing my mother,True,200,7,8,7,0,1,0,
african_storybook,24590,The lovely  Bird,True,200,7,8,7,0,1,0,
african_storybook,24596,I love my father,True,200,6,8,6,0,2,0,
african_storybook,24617,My first day at school,True,200,10,11,10,0,1,0,
african_storybook,24625,An African mother,True,200,6,7,6,0,1,0,
african_storybook,24644,Okumu and his cow,True,200,4,5,4,0,1,0,
african_storybook,24647,King of the Nile,True,200,17,18,17,0,1,0,
african_storybook,24674,Animals of the jungle,True,200,7,7,7,0,0,0,
african_storybook,24700,Mary is lazy,True,200,9,10,9,0,1,0,
african_storybook,24729,Hare and Tortoise,True,200,9,10,9,0,1,0,
african_storybook,24732,People who forgot,True,200,12,13,12,0,1,0,
african_storybook,2548,My Friend Coco,True,200,11,11,11,0,0,0,
african_storybook,2549,The Happy Revival,True,200,7,8,7,0,1,0,
african_storybook,2595,The Tree Wife,True,200,14,15,14,0,1,0,
african_storybook,2605,The Baboons That Went This Way and That,True,200,15,15,15,0,0,0,
african_storybook,2940,Sniffles the Crocodile and Punch the Butterfly,True,200,8,8,8,0,0,0,
african_storybook,3125,Kato Clever and the Big Trouble,True,200,10,13,10,0,3,0,
african_storybook,31293,Asiimwe's special mat,True,200,10,11,10,0,1,0,
african_storybook,31355,Chameleon Races Rabbit,True,200,11,12,11,0,1,0,
african_storybook,31419,The Ant Invasion,True,200,13,14,13,0,1,0,
african_storybook,31499,Inviting a giraffe to tea,True,200,32,33,32,0,1,0,
african_storybook,31578,The fat donkey,True,200,8,9,8,0,1,0,
african_storybook,31689,Friend at Night,True,200,8,10,8,0,2,0,
african_storybook,31702,Lion gets sick,True,200,12,13,12,0,1,0,
african_storybook,31708,My school clothes,True,200,8,9,8,0,1,0,
african_storybook,31833,Fati and the Honey Tree,True,200,18,20,18,0,2,0,
african_storybook,31836,Fati and the Green Snake,True,200,18,19,18,0,1,0,
african_storybook,31892,Emeka and the old man,True,200,12,13,12,0,1,0,
african_storybook,31898,Planet Earth: The Great Oxidation Event,True,200,20,21,20,0,1,0,
african_storybook,31900,The Boy Who Discovered IT,True,200,42,10,10,32,0,0,
african_storybook,31901,Berry the Bear,True,200,20,13,13,7,0,0,
african_storybook,31944,A father's lesson,True,200,12,13,12,0,1,0,
african_storybook,31945,Abebe and the English boys,True,200,12,11,11,1,0,0,
african_storybook,31946,Father and daughters,True,200,12,13,12,0,1,0,
african_storybook,31947,"Father, son and donkey",True,200,8,9,8,0,1,0,
african_storybook,31948,Foolish husband and wife,True,200,8,9,8,0,1,0,
african_storybook,31949,Why hyenas limp,True,200,8,9,8,0,1,0,
african_storybook,31995,Time,True,200,12,13,12,0,1,0,
african_storybook,32041,What Lulu wanted,True,200,16,17,16,0,1,0,
african_storybook,32045,Chess and family roles,True,200,8,9,8,0,1,0,
african_storybook,32179,Fire on the mountain,True,200,8,9,8,0,1,0,
african_storybook,32214,Crocodile and Ngô-Iwa,True,200,12,13,12,0,1,0,
african_storybook,32228,The sticky doll,True,200,16,13,13,3,0,0,
african_storybook,32340,My cat is hiding,True,200,8,9,8,0,1,0,
african_storybook,32355,Jesus Walks on Water,True,200,7,9,7,0,2,0,
african_storybook,32356,The Lost Sheep and the Lost Coin,True,200,8,10,8,0,2,0,
african_storybook,32357,Guests at the Feast,True,200,7,9,7,0,2,0,
african_storybook,32380,A New School,True,200,8,9,8,0,1,0,
african_storybook,32382,The Mystery of the Black Forest,True,200,8,9,8,0,1,0,
african_storybook,32386,New hope,True,200,7,4,4,3,0,0,
african_storybook,32391,The Magic Pot,True,200,6,3,3,3,0,0,
african_storybook,32408,Soccer skills,True,200,10,11,10,0,1,0,
african_storybook,32410,Nusha in the sky,True,200,12,13,12,0,1,0,
african_storybook,32413,Sihle Goes Back To School,True,200,10,11,10,0,1,0,
african_storybook,32416,Busy busy sun,True,200,8,9,8,0,1,0,
african_storybook,32431,The Great Flood,True,200,7,3,3,4,0,0,
african_storybook,32435,The Helpful Girl,True,200,7,4,4,3,0,0,
african_storybook,32446,The wicked snake,True,200,11,12,11,0,1,0,
african_storybook,32460,Life story of beans,True,200,16,17,16,0,1,0,
african_storybook,32482,Waiting for the bus,True,200,12,12,12,0,0,0,
african_storybook,32487,(Colour-in) Fire,True,200,8,9,8,0,1,0,
african_storybook,32520,Big-head Ant and lazy Pigeon,True,200,12,13,12,0,1,0,
african_storybook,32527,Eclipse of Love,True,200,13,14,13,0,1,0,
african_storybook,32606,Sentence Street,True,200,12,13,12,0,1,0,
african_storybook,32648,A Rainbow Tale,True,200,14,15,14,0,1,0,
african_storybook,32654,The Hungry Green Frog,True,200,8,9,8,0,1,0,
african_storybook,32658,The Tortoise and the Eagle,True,200,8,9,8,0,1,0,
african_storybook,32659,The Two friends,True,200,8,9,8,0,1,0,
african_storybook,32660,Elephant and Hare Compete,True,200,8,9,8,0,1,0,
african_storybook,32661,The search for Water,True,200,8,9,8,0,1,0,
african_storybook,32904,Alive!,True,200,8,9,8,0,1,0,
african_storybook,32920,Salemka'an spends her day with wind,True,200,12,13,12,0,1,0,
african_storybook,32921,Super Mummy and Super Super!,True,200,10,11,10,0,1,0,
african_storybook,32941,Baby Leopard and the Lamb,True,200,18,19,18,0,1,0,
african_storybook,33035,Day with my doll,True,200,8,9,8,0,1,0,
african_storybook,33042,Sipho's flower garden,True,200,5,6,5,0,1,0,
african_storybook,33047,I like,True,200,10,11,10,0,1,0,
african_storybook,33082,Kids nabbed,True,200,11,12,11,0,1,0,
african_storybook,33142,The Animals Dig a Well,True,200,14,16,14,0,2,0,
african_storybook,33145,The Land of No Old People,True,200,9,11,9,0,2,0,
african_storybook,33215,Fast Food,True,200,13,14,13,0,1,0,
african_storybook,33600,My Imagination,True,200,8,9,8,0,1,0,
african_storybook,33679,When it was very cold,True,200,8,9,8,0,1,0,
african_storybook,33684,Lihle has a great day,True,200,4,5,4,0,1,0,
african_storybook,33732,Secret agent,True,200,8,8,8,0,0,0,
african_storybook,33738,I love,True,200,8,9,8,0,1,0,
african_storybook,33761,The Sun Smiled,True,200,8,9,8,0,1,0,
african_storybook,33926,Mangoes,True,200,10,11,10,0,1,0,
african_storybook,33968,Have You Ever Seen?,True,200,11,12,11,0,1,0,
african_storybook,34005,The cat and dog,True,200,7,8,7,0,1,0,
african_storybook,34094,Everyday People,True,200,8,9,8,0,1,0,
african_storybook,34098,The shining moon,True,200,4,5,4,0,1,0,
african_storybook,34111,Wayan and the turtles,True,200,12,8,8,4,0,0,
african_storybook,34242,Yoyo and his father travel,True,200,3,4,3,0,1,0,
african_storybook,34274,Sun and Moon,True,200,8,9,8,0,1,0,
african_storybook,34285,Story of Old Man and Servant,True,200,8,9,8,0,1,0,
african_storybook,34359,Types of shoes,True,200,8,9,8,0,1,0,
african_storybook,34414,Raven's message,True,200,8,6,6,2,0,0,
african_storybook,34418,SAM POPCORNS,True,200,6,7,6,0,1,0,
african_storybook,34450,Little Frog,True,200,8,9,8,0,1,0,
african_storybook,34544,Don't cross a flooded river!,True,200,10,11,10,0,1,0,
african_storybook,34547,What is a lifejacket?,True,200,9,10,9,0,1,0,
african_storybook,34548,How to help someone in water,True,200,4,5,4,0,1,0,
african_storybook,34549,Stay safe at the beach!,True,200,4,5,4,0,1,0,
african_storybook,34575,The Homeless Boy,True,200,13,4,4,9,0,0,
african_storybook,34577,Amina's flower,True,200,8,8,8,0,0,0,
